,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Cost
280,GBR,TRADEGOOD,IMP,MLN_USD,A,2013,655541.8
281,GBR,TRADEGOOD,IMP,MLN_USD,A,2014,683588.4
282,GBR,TRADEGOOD,IMP,MLN_USD,A,2015,618127.4
283,GBR,TRADEGOOD,IMP,MLN_USD,A,2016,582662.0
284,GBR,TRADEGOOD,IMP,MLN_USD,A,2017,613367.1
285,USA,TRADEGOOD,EXP,MLN_USD,A,2013,1593707.0
286,USA,TRADEGOOD,EXP,MLN_USD,A,2014,1635563.0
287,USA,TRADEGOOD,EXP,MLN_USD,A,2015,1511381.0
288,USA,TRADEGOOD,EXP,MLN_USD,A,2016,1456956.0
289,USA,TRADEGOOD,EXP,MLN_USD,A,2017,1553383.0
290,USA,TRADEGOOD,IMP,MLN_USD,A,2013,2294247.0
291,USA,TRADEGOOD,IMP,MLN_USD,A,2014,2385480.0
292,USA,TRADEGOOD,IMP,MLN_USD,A,2015,2273250.0
293,USA,TRADEGOOD,IMP,MLN_USD,A,2016,2208008.0
294,USA,TRADEGOOD,IMP,MLN_USD,A,2017,2360879.0
295,BRA,TRADEGOOD,EXP,MLN_USD,A,2013,241577.3
296,BRA,TRADEGOOD,EXP,MLN_USD,A,2014,224097.8
297,BRA,TRADEGOOD,EXP,MLN_USD,A,2015,190092.0
298,BRA,TRADEGOOD,EXP,MLN_USD,A,2016,184452.9
299,BRA,TRADEGOOD,EXP,MLN_USD,A,2017,217242.7
300,BRA,TRADEGOOD,IMP,MLN_USD,A,2013,241188.7
301,BRA,TRADEGOOD,IMP,MLN_USD,A,2014,230727.0
302,BRA,TRADEGOOD,IMP,MLN_USD,A,2015,172422.2
303,BRA,TRADEGOOD,IMP,MLN_USD,A,2016,139415.9
304,BRA,TRADEGOOD,IMP,MLN_USD,A,2017,153214.5
305,CHL,TRADEGOOD,EXP,MLN_USD,A,2013,76769.94
306,CHL,TRADEGOOD,EXP,MLN_USD,A,2014,75064.7
307,CHL,TRADEGOOD,EXP,MLN_USD,A,2015,62035.09
308,CHL,TRADEGOOD,EXP,MLN_USD,A,2016,60733.44
309,CHL,TRADEGOOD,EXP,MLN_USD,A,2017,69229.87
310,CHL,TRADEGOOD,IMP,MLN_USD,A,2013,74754.5
311,CHL,TRADEGOOD,IMP,MLN_USD,A,2014,68598.85
312,CHL,TRADEGOOD,IMP,MLN_USD,A,2015,58608.96
313,CHL,TRADEGOOD,IMP,MLN_USD,A,2016,55293.2
314,CHL,TRADEGOOD,IMP,MLN_USD,A,2017,61307.65
315,CHN,TRADEGOOD,EXP,MLN_USD,A,2013,2148589.0
316,CHN,TRADEGOOD,EXP,MLN_USD,A,2014,2243761.0
317,CHN,TRADEGOOD,EXP,MLN_USD,A,2015,2142754.0
318,CHN,TRADEGOOD,EXP,MLN_USD,A,2016,1989519.0
319,CHN,TRADEGOOD,EXP,MLN_USD,A,2017,2216458.0
320,CHN,TRADEGOOD,IMP,MLN_USD,A,2013,1789608.0
321,CHN,TRADEGOOD,IMP,MLN_USD,A,2014,1808720.0
322,CHN,TRADEGOOD,IMP,MLN_USD,A,2015,1566562.0
323,CHN,TRADEGOOD,IMP,MLN_USD,A,2016,1500636.0
324,CHN,TRADEGOOD,IMP,MLN_USD,A,2017,1740312.0
325,IND,TRADEGOOD,EXP,MLN_USD,A,2013,319700.8
326,IND,TRADEGOOD,EXP,MLN_USD,A,2014,328381.1
327,IND,TRADEGOOD,EXP,MLN_USD,A,2015,272148.5
328,IND,TRADEGOOD,EXP,MLN_USD,A,2016,268615.6
329,IND,TRADEGOOD,EXP,MLN_USD,A,2017,304165.1
330,IND,TRADEGOOD,IMP,MLN_USD,A,2013,480552.7
331,IND,TRADEGOOD,IMP,MLN_USD,A,2014,472394.8
332,IND,TRADEGOOD,IMP,MLN_USD,A,2015,409143.7
333,IND,TRADEGOOD,IMP,MLN_USD,A,2016,376121.4
334,IND,TRADEGOOD,IMP,MLN_USD,A,2017,452053.9
335,IDN,TRADEGOOD,EXP,MLN_USD,A,2013,182089.2
