GDP Value,Cost,pte_value,se_value,Sex_Index,TIME_Index,GDPsubject,Impexp_Index,Country_Index
238749.49,58175.47,17.65,9.38,1,3,0,0,2
238749.49,58175.47,10.62,18.38,2,3,0,0,2
238749.49,58175.47,14.01,14.03,0,3,0,0,2
238749.49,59018.13,17.65,9.38,1,3,0,1,2
238749.49,59018.13,10.62,18.38,2,3,0,1,2
238749.49,59018.13,14.01,14.03,0,3,0,1,2
247624.34,65136.44,17.42,9.04,1,4,0,0,2
247624.34,65136.44,10.88,17.02,2,4,0,0,2
247624.34,65136.44,14.03,13.18,0,4,0,0,2
247624.34,67613.02,17.42,9.04,1,4,0,1,2
247624.34,67613.02,10.88,17.02,2,4,0,1,2
247624.34,67613.02,14.03,13.18,0,4,0,1,2
41293.29,75099.13,16.66,8.8,1,1,0,0,2
41293.29,75099.13,9.6,17.83,2,1,0,0,2
41293.29,75099.13,13.04,13.44,0,1,0,0,2
41293.29,78498.85,16.66,8.8,1,1,0,1,2
41293.29,78498.85,9.6,17.83,2,1,0,1,2
41293.29,78498.85,13.04,13.44,0,1,0,1,2
41462.72,72985.74,16.76,9.33,1,0,0,0,2
41462.72,72985.74,10.04,18.44,2,0,0,0,2
41462.72,72985.74,13.32,14,0,0,0,0,2
41462.72,75360.71,16.76,9.33,1,0,0,1,2
41462.72,75360.71,10.04,18.44,2,0,0,1,2
41462.72,75360.71,13.32,14,0,0,0,1,2
42063.73,57120.09,16.36,9.46,1,2,0,0,2
42063.73,57120.09,10.59,18.75,2,2,0,0,2
42063.73,57120.09,13.4,14.22,0,2,0,0,2
42063.73,59091.36,16.36,9.46,1,2,0,1,2
42063.73,59091.36,10.59,18.75,2,2,0,1,2
42063.73,59091.36,13.4,14.22,0,2,0,1,2
43446.12,58175.47,17.65,9.38,1,3,0,0,2
43446.12,58175.47,10.62,18.38,2,3,0,0,2
43446.12,58175.47,14.01,14.03,0,3,0,0,2
43446.12,59018.13,17.65,9.38,1,3,0,1,2
43446.12,59018.13,10.62,18.38,2,3,0,1,2
43446.12,59018.13,14.01,14.03,0,3,0,1,2
44955.58,65136.44,17.42,9.04,1,4,0,0,2
44955.58,65136.44,10.88,17.02,2,4,0,0,2
44955.58,65136.44,14.03,13.18,0,4,0,0,2
44955.58,67613.02,17.42,9.04,1,4,0,1,2
44955.58,67613.02,10.88,17.02,2,4,0,1,2
44955.58,67613.02,14.03,13.18,0,4,0,1,2
2608523.5,638702.4,22.54,7.72,1,1,0,0,23
2608523.5,638702.4,6.2,14.54,2,1,0,0,23
2608523.5,638702.4,14.02,11.27,0,1,0,0,23
2608523.5,582088.6,22.54,7.72,1,1,0,1,23
2608523.5,582088.6,6.2,14.54,2,1,0,1,23
2608523.5,582088.6,14.02,11.27,0,1,0,1,23
2662032.87,636165.7,22.49,8.15,1,0,0,0,23
2662032.87,636165.7,6.74,14.82,2,0,0,0,23
2662032.87,636165.7,14.31,11.61,0,0,0,0,23
2662032.87,580107.3,22.49,8.15,1,0,0,1,23
2662032.87,580107.3,6.74,14.82,2,0,0,1,23
