LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Cost,Flag Codes
CHE,TRADEGOOD,IMP,MLN_USD,A,2014,274062.9,
CHE,TRADEGOOD,IMP,MLN_USD,A,2015,249714.3,
CHE,TRADEGOOD,IMP,MLN_USD,A,2016,266418.3,
CHE,TRADEGOOD,IMP,MLN_USD,A,2017,264384.5,
TUR,TRADEGOOD,EXP,MLN_USD,A,2013,161785.8,
TUR,TRADEGOOD,EXP,MLN_USD,A,2014,168925.8,
TUR,TRADEGOOD,EXP,MLN_USD,A,2015,151972.2,
TUR,TRADEGOOD,EXP,MLN_USD,A,2016,150165.8,
TUR,TRADEGOOD,EXP,MLN_USD,A,2017,166164.5,
TUR,TRADEGOOD,IMP,MLN_USD,A,2013,241706.3,
TUR,TRADEGOOD,IMP,MLN_USD,A,2014,232518.8,
TUR,TRADEGOOD,IMP,MLN_USD,A,2015,200086.5,
TUR,TRADEGOOD,IMP,MLN_USD,A,2016,191019.8,
TUR,TRADEGOOD,IMP,MLN_USD,A,2017,225111.9,
GBR,TRADEGOOD,EXP,MLN_USD,A,2013,469546,
GBR,TRADEGOOD,EXP,MLN_USD,A,2014,482603.5,
GBR,TRADEGOOD,EXP,MLN_USD,A,2015,438126.4,
GBR,TRADEGOOD,EXP,MLN_USD,A,2016,403633,
GBR,TRADEGOOD,EXP,MLN_USD,A,2017,436372.1,
GBR,TRADEGOOD,IMP,MLN_USD,A,2013,655541.8,
GBR,TRADEGOOD,IMP,MLN_USD,A,2014,683588.4,
GBR,TRADEGOOD,IMP,MLN_USD,A,2015,618127.4,
GBR,TRADEGOOD,IMP,MLN_USD,A,2016,582662,
GBR,TRADEGOOD,IMP,MLN_USD,A,2017,613367.1,
USA,TRADEGOOD,EXP,MLN_USD,A,2013,1593707,
USA,TRADEGOOD,EXP,MLN_USD,A,2014,1635563,
USA,TRADEGOOD,EXP,MLN_USD,A,2015,1511381,
USA,TRADEGOOD,EXP,MLN_USD,A,2016,1456956,
USA,TRADEGOOD,EXP,MLN_USD,A,2017,1553383,
USA,TRADEGOOD,IMP,MLN_USD,A,2013,2294247,
USA,TRADEGOOD,IMP,MLN_USD,A,2014,2385480,
USA,TRADEGOOD,IMP,MLN_USD,A,2015,2273250,
